COUNTRIES,Rate/min
Afghanistan,0.25
Afghanistan Cellular,0.117
Albania,0.15
Albania Cellular,0.333
Albania-Tirana,0.161
Algeria,0.083
Algeria Cellular,0.455
American Samoa,0.015
Andorra,0.178
Angola,0.1
Angola Cellular,0.125
Angola Cellular-Movicel,0.25
Angola Cellular-Unitel,0.295
Anguilla,0.2
Anguilla Cellular,0.227
Antarctica,1
Norfolk Island,0.263
Antigua,0.175
Antigua Cellular,0.227
Argentina,0.015
Argentina Cellular,0.163
"Argentina,Buenos Aires",0.01
Armenia,0.185
Armenia Cellular,0.225
"Armenia,Yerevan",0.185
Aruba,0.1
Aruba Cellular,0.227
Ascension Island,0.555
Australia,0.02
Australia Cellular,0.05
Austria,0.02
Austria Cellular,0.04
Azerbaijan,0.25
Azerbaijan Cellular,0.333
Bahamas,0.107
Bahamas Cellular,0.157
Bahrain,0.105
Bahrain Cellular,0.13
Bangladesh,0.032
Bangladesh Cellular,0.032
"Bangladesh,Dhaka",0.032
Barbados,0.15
Barbados Cellular,0.238
Belarus,0.455
Belarus Cellular,0.33
Belgium,0.025
Belgium Cellular,0.139
Belgium Cellular Premium,0.417
Belize,0.25
Belize Cellular,0.25
Benin,0.334
Bermuda,0.04
Bhutan,0.125
Bolivia,0.106
Bolivia Cellular,0.166
"Bolivia,Cochabamba",0.12
"Bolivia,La Paz",0.098
"Bolivia,Rural",0.217
"Bolivia,Santa Cruz",0.1
Bosnia and Herzegovina,0.166
Bosnia and Herzegovina Cellular,0.357
Botswana,0.1
Botswana Cellular,0.227
Brazil,0.025
Brazil Cellular-Debit,0.025
Brazil Major Cities,0.013
"Brazil,Governado Valeres",0.013
"Brazil,Rio de Janeiro",0.013
"Brazil,Sao Paulo",0.013
British Virgin Islands,0.227
Brunei,0.04
Bulgaria,0.25
Bulgaria Cellular,0.385
Burkina Faso,0.25
Burkina Faso Cellular,0.333
Burkina Faso Cellular-Moov,0.346
Burundi,0.7
Cambodia,0.073
Cambodia Cellular,0.065
Cameroon,0.111
Cameroon Cellular-MTN,0.278
Cameroon Cellular-Nexxtel,0.312
Cameroon Cellular-Orange,0.385
Canada,0.016
"Canada,Yukon",0.056
Cape Verde Islands,0.18
