Country,Rate/min
Afghanistan - Fixed,0.249
Afghanistan - Mobile,0.269
Albania - Fixed,0.156
Albania - Landlines AMC,0.299
Albania - Mobile,0.36
Algeria - Landline,0.069
Algeria - Other Mobile,0.86
Algeria - Mobile Wataniya,0.86
American Samoa - Mobile,0.105
American Samoa - Fixed,0.114
Andorra - Fixed,0.029
Andorra - Mobile,0.279
Angola - Fixed,0.159
Angola - Mobile,0.212
Anguilla - Fixed,0.219
Anguilla - Mobile,0.229
Antarctica - Fixed,1.45
Antarctica - Mobile,1.45
Antigua and Barbuda - Fixed,0.229
Antigua and Barbuda - Mobile,0.289
Argentina - Fixed,0.019
Argentina - Mobile,0.199
Armenia - Yerevan,0.174
Armenia - Other Landlines,0.174
Armenia - All Mobiles,0.215
Aruba - Fixed,0.124
Aruba - Mobile,0.17
Australia - Fixed,0.02
Australia - Mobile,0.16
Australia - Norfolk Mobile and Landline,1.49
Austria - Wien,0.02
Austria - All other landline,0.03
Austria - Mobile A1,0.17
Austria - All other mobile,0.25
Austria - 3 AT,0.35
"Austria - Shared numbers,Freephone, Personal numbers, Special Services",0.4
Azerbaijani Republic - Fixed,0.199
Azerbaijani Republic - Mobile,0.299
Bahamas - Fixed,0.119
Bahamas - Mobile,0.219
Bahrain - Fixed,0.125
Bahrain - Mobile,0.125
"Bangladesh - Chittagong, Sylhet, Dhaka ",0.036
Bangladesh - All Mobiles,0.036
Barbados - Fixed,0.209
Barbados - Mobile,0.239
Belarus - Fixed,0.399
Belarus - Mobile,0.399
Belgium - All Landlines,0.03
Belgium - Proximus,0.173
Belgium - All other mobile,0.24
Belgium - Special service,0.4
Belgium - Premium Numbers,0.4
Belize - Fixed,0.229
Belize - Mobile,0.229
Benin - Fixed,0.45
Benin - Mobile,0.45
Bermuda - Fixed,0.075
Bermuda - Mobile,0.075
Bhutan - Fixed,0.16
Bhutan - Mobile,0.16
Bolivia - La Paz and Santa Cruz,0.109
Bolivia - Other Landlines,0.149
Bolivia - All Mobiles,0.199
Bosnia and Herzegovina - Fixed,0.169
Bosnia and Herzegovina - Mobile,0.35
Botswana - Fixed,0.099
Botswana - Mobile,0.215
"Brazil - Sao Paulo, Rio de Janeiro",0.009
Brazil - Other landline,0.0145
Brazil - All mobile,0.099
Brunei Darussalam - Fixed,0.054
Brunei Darussalam - Mobile,0.054
Bulgaria - All other landline,0.046
Bulgaria - Sofia,0.0532
Bulgaria - Mobifon,0.259
Bulgaria - All other Mobile,0.39
Burkina Faso - Fixed,0.35
Burkina Faso - Mobile,0.35
Burundi - Fixed,0.449
Burundi - Mobile,0.5
British Virgin Islands - All Landlines,0.2399
British Virgin Islands - CCT,0.24
British Virgin Islands - Other mobiles,0.29
Cambodia - Fixed,0.059
Cambodia - Mobile,0.059
"Cameroon - Douala, Yaounde",0.199
Cameroon - Other landline,0.199
Cameroon - Spacemob,0.329
Cameroon - Other mobile,0.329
Cameroon - MTN Mobile,0.329
Cameroon - Orange,0.33
Cameroon - Spacemod Satelite,0.8
Canada - Other landlines,0.015
Canada - Other Mobiles,0.015
Canada - Yukon & NW territories,0.15
Cape Verde - Fixed,0.299
Cape Verde - Mobile,0.419
Caribbean Netherlands - Fixed,0.29
Caribbean Netherlands - Mobile,0.29
Cayman Islands - Fixed,0.119
Cayman Islands - Mobile,0.185
Central African Republic - Fixed,0.39
Central African Republic - Mobile,0.469
Chad - Mobile,0.499
Chad - Fixed,0.57
Chile - Landlines,0.022
Chile - Mobile,0.199
Chile - Landlines Rural,0.45
China - Fixed,0.029
China - Mobile,0.029
China - Other Mobiles,0.029
"Colombia - Barranquilla, Bogota, Cali, Medellin",0.029
Colombia - Dialcode 57185,0.045
Colombia - Other landline,0.094
Colombia - Other mobile,0.095
"Colombia - Comcel, Movistar",0.139
Comoros - Fixed,0.479
Comoros - Mobile,0.479
Congo - Fixed,0.409
Congo - Mobile,0.409
Cook Islands - Fixed,0.67
Cook Islands - Mobile,0.67
Costa Rica - Fixed,0.061
Costa Rica - Mobile,0.079
Cote d'Ivoire - Fixed,0.27
Cote d'Ivoire - Mobile,0.349
Cote d'Ivoire - Orange,0.349
Cote d'Ivoire - Other (ex: +22565),0.349
Croatia - Fixed,0.101
Croatia - Mobile,0.279
Cuba - Fixed,0.749
Cuba - Mobile,0.799
Curaçao - Fixed,0.29
Curaçao - Mobile,0.29
Cyprus - Fixed,0.029
Cyprus - Mobile,0.069
Czech Republic - Fixed,0.039
Czech Republic - Mobile,0.299
Denmark - All Landlines,0.019
"Denmark - TDC, Sonofon, Telia, Orange",0.219
Denmark - Other Mobiles,0.269
Djibouti - Fixed,0.359
Djibouti - Mobile,0.359
